Designator,Footprint,Quantity,Value,LCSC Part #
"H1, H2, H3, H4",SMTSO2515CTJ,4,SMTSO2515CTJ,C2915629
"J1, J4, J5, J6, J7, J8",JST_BM04B-GHS-TBT,6,JST_BM04B-GHS-TBT,C161692
"J10, J11, J12, J13, J14",AMASS_XT30UPB-M,5,XT30UPB-M,
J15,JST_B3B-XH-A,1,JST_B3B-XH-A,B3B-XH-A(LF)(SN)
J2,TE_1586842-6_6PIN,1,1586842-6,
J3,JST_BM03B-GHS-TBT,1,JST_BM03B-GHS-TBT,C161691
J9,JST_B2B-XH-A_LF__SN_,1,XH 2 Pin,
R1,0603,1,120R,C22787
R2,0603,1,20k,
R3,0603,1,10k,
