Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7uF_HS,C19666
C2,0603,1,0.1uF_HS,C14663
"C3, C4",0603,2,1uF_HS,C15849
J1,JST_BM08B-GHS-TBT_LF__SN__N_,1,JST_BM08B-GHS-TBT,C133062
R2,0603,1,10k_HS,C25804
R3,0603,1,39R_HS,C23154
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,4,1.0mm,
U1,IC_PMW3360DM-T2QU 16Pin,1,IC_PMW3360DM-T2QU,C20612443
U2,SOT-23-5,1,LDO_TLV74318PDBVR,C485152
